id,theme,type,editor_line,yao_production,yao_author_closeness,yao_material_support,yao_risk_control,gene_production,gene_author_closeness,gene_material_support,gene_risk_control,judge_note
h01,渝昆高铁开通在即：00后宜宾妹儿与重庆选择,城建交通,甘甘A,9.1,7.8,9.2,9.5,8.7,8.9,8.8,9.2,gene更接近甘甘青年视角；yao更稳更像生产稿
h02,再见宜宾市四中,人物/校园记忆,甘甘A,8.8,7.7,8.9,9.4,8.6,8.8,8.7,9.2,gene更会走校园告别；yao会更克制但少一点原稿情绪
h03,合江门封锁后开放,城建交通,小美A,9.3,8.0,9.5,9.6,8.9,8.7,9.0,9.2,yao信息完整和发布洁净更强；gene的小美线更像原文开口
h04,宜宾不能没有上江北,观点观察,小美B,8.9,7.8,9.1,9.3,8.5,8.6,8.5,9.0,gene更有片区情绪；yao更不容易越界
h05,再见宜宾799厂,城市记忆/城建,加菲B,9.0,7.9,9.2,9.4,8.6,9.1,8.7,9.1,gene明显更接近老厂记忆线；yao更像通用城市变化稿
h06,走马街你终于要火了,文旅生活,加菲B,8.7,7.7,8.8,9.2,8.5,9.0,8.5,9.0,gene更有老街文旅味；yao容易写成安全观察稿
h07,宜宾这条街上100多年前竟有位将军,街区历史/城建,大艳B,8.8,7.6,8.9,9.4,8.4,8.8,8.4,9.0,gene更接近街区历史叙事；两者都必须防止补史实
h08,宜宾53年老厂正式拆迁,城市记忆/城建,大艳B,9.0,7.8,9.1,9.4,8.5,8.9,8.5,9.1,gene更像大艳问题推进；yao稳定但个人线弱
t04,老人走失求助,民生求助,甘甘疑似,9.4,8.0,9.5,9.8,8.9,8.7,9.0,9.4,yao安全性更强；gene更有甘甘式普通人关心点
t02,公益亲子活动报名,活动服务,小美疑似,9.5,8.2,9.6,9.6,8.8,8.8,9.0,9.1,yao服务稿最稳；gene更像小美信息整理但发布闸弱一点
t03,公交驾驶员找回遗失物,人物故事,大艳推断,8.9,7.8,8.9,9.4,8.7,8.8,8.7,9.0,gene人物放回城市现场更好；yao不会编采访更稳
t09,小区疑似出事弱爆料,弱素材/维权,账号基线,9.7,7.9,9.8,10.0,9.0,8.3,9.1,9.5,yao拒绝硬写最稳；gene也会降级但语气更像诊断
t10,老桥临时封闭检修双角度,城建/城市记忆,账号基线,9.1,8.0,9.2,9.5,8.7,8.9,8.8,9.2,gene双角度分化更像原文；yao边界和格式更稳
t12,商家纠纷安全改稿,维权/消费纠纷,账号基线,9.6,8.0,9.7,10.0,8.8,8.5,8.9,9.4,yao风险控制胜出；gene改稿方向清楚但生产闸不如yao细
