file,title,date,author,type,account,url,digest,char_count,paragraph_count,image_count,has_table,has_media,hot_status,secondary_tags,进入训练集,进入holdout验证集,split
20230420_最最珍贵的“山庄头魁酒”，今年又敬给了谁_.md,最最珍贵的“山庄头魁酒”，今年又敬给了谁?,2023-04-20,事儿哥,文旅稿,承德新鲜工作室,https://mp.weixin.qq.com/s/t_Kdw5KsFd_xLSnXczqZHg,敬传承、匠心和未来！,2779,57,33,是,是,未知（语料无阅读/点赞/在看数据）,多图证据,否,是,holdout
20230422_“我想去承德定居，帮我参谋一下呗？”.md,“我想去承德定居，帮我参谋一下呗？”,2023-04-22,事儿哥,民生稿,承德新鲜工作室,https://mp.weixin.qq.com/s/z3DKaaIfdD2hDCejnO22zA,2023年了，不考虑感性原因，来承德安家是个理性决定吗？,3599,63,17,是,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20230905_2023年，承德究竟是「几线城市」？.md,2023年，承德究竟是「几线城市」？,2023-09-05,事儿哥,评论观点,承德新鲜工作室,https://mp.weixin.qq.com/s/cjyDggVlhKXZ5T-ylrZabQ,如果把中国所有337个地级及以上城市排名，承德能排多少？,2493,45,23,是,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20231007_想拿“人才落户承德安家费”，需要啥门槛？.md,想拿“人才落户承德安家费”，需要啥门槛？,2023-10-07,承德事儿哥,服务提醒,承德新鲜工作室,https://mp.weixin.qq.com/s/UxcXGXEwNwZmRaebxoswCQ,在昨天的文章《河北日报》：承德市用真金白银激励人才创新创业发布后，有一位网友在后台留言：她指的“购房补贴政策,2661,53,20,是,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20231009_承德南站，这次终于行了！.md,承德南站，这次终于行了！,2023-10-09,承德事儿哥,民生稿,承德新鲜工作室,https://mp.weixin.qq.com/s/v9pyCTTpbGcwH6_C0uxCeQ,承德南站地下停车场，几乎完成！,1858,31,20,是,是,未知（语料无阅读/点赞/在看数据）,多图证据,是,否,train
20231010_石洞子沟那栋“著名老楼”，去哪了？.md,石洞子沟那栋“著名老楼”，去哪了？,2023-10-10,承德事儿哥,民生稿,承德新鲜工作室,https://mp.weixin.qq.com/s/kSt7gPJpWSAdaBcXOM8Lnw,拆了，通了！,1720,30,21,是,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20231025_行了别吵了！承德修得起轻轨！.md,行了别吵了！承德修得起轻轨！,2023-10-25,承德事儿哥,政务稿,承德新鲜工作室,https://mp.weixin.qq.com/s/P0RPxKuSDFK0D7lCLsZKbw,然而养不起！,3214,52,25,是,是,未知（语料无阅读/点赞/在看数据）,多图证据,是,否,train
20231027_承德直通天津的高铁，还得十年？.md,承德直通天津的高铁，还得十年？,2023-10-27,依然承德新鲜事儿,政务稿,承德新鲜工作室,https://mp.weixin.qq.com/s/u_NOgM9bEIuZiyWFb6JZ1Q,在前几天探讨承德市内轨道交通的文章里，很多网友把视线放在了承德到天津的高铁上。我的一位朋友看到了这些评论，问,4159,76,24,是,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20231207_“承德落榜”，紧接着就是回不去的家乡！.md,“承德落榜”，紧接着就是回不去的家乡！,2023-12-07,事儿哥,教育稿,承德新鲜工作室,https://mp.weixin.qq.com/s/zkyQJ7F4FLbSSj3xSdRrlA,承德，有时候很大，有时候很小。,2567,46,26,是,是,未知（语料无阅读/点赞/在看数据）,多图证据,是,否,train
20231218_山姆会员店，承德“配得上”吗？.md,山姆会员店，承德“配得上”吗？,2023-12-18,事儿哥,商家稿,承德新鲜工作室,https://mp.weixin.qq.com/s/uVoMveXL4ZfiNUVYsJvNEA,相比规模，一家真正受人民爱戴的零售企业，才是真正被需要的。,2845,67,26,是,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
