round,id,title,思想框架相似度,观点方向一致度,结构相似度,语言节奏相似度,案例策略相似度,金句风格相似度,事实可靠性,非冒充合规性,average,gap,suggestion
baseline,1,请笑纳：我这28年的写作心法，全部都在这里了,8.0,7.5,7.0,6.8,5.5,7.0,8.5,9.5,7.47,思想和观点接近，抓住同理心、对象感和问答结构；但原文是超长心法合集，生成稿缺少多层心法、丰富案例和留言式现场感。,补强写作模块中“长清单心法文”的结构：同理心总领、问答递进、每条心法都有读者障碍和动作。
baseline,2,到底什么是商业模式？,8.0,7.0,6.5,6.7,5.8,6.5,8.5,9.5,7.31,交易结构方向准确，但原文特色在多模型层层展开，生成稿只覆盖 3 问，缺少 2/4/6/9 模型的教学密度。,增加“概念解释文”模板：定义后用多个模型层层升级，而不是只给一个三问框架。
baseline,3,两句话，拒掉99%的潜在客户,7.5,7.0,6.8,6.5,5.5,6.8,8.0,9.5,7.2,核心机制接近，但原文最强的是具体“两句话”和对 99% 反应的细节拆解，生成稿抽象化偏多。,改写规则加入“先给可执行原话/动作，再解释机制”，提升实操文章相似度。
baseline,4,从“场、人、货”的角度，我们聊聊到底什么是新零售？,8.0,7.8,7.2,6.7,6.5,6.7,8.5,9.5,7.61,核心框架和方向接近，场人货与三流拆解都覆盖；但原文展开更细，有便利店、线上线下成本等具体案例。,案例策略中增加“结构定义后，至少补 2 个行业场景”的要求。
baseline,5,刘润：“已读”功能的问题究竟在哪？为什么让职场人如坐针毡？,8.0,8.0,6.8,6.6,6.0,7.0,8.5,9.5,7.55,观点方向非常接近，抓住“已读不等于签收”和主动性；差距在原文有更强热点背景、平台讨论和职场细节。,产品分析模板加入“功能改变了什么责任关系/主动权”的固定问题。
baseline,6,微信还是被低估了,7.5,6.8,6.5,6.4,5.8,6.5,8.5,9.5,7.19,能生成“意图入口”方向，但这是高度贴合原文素材提示后的结果；原 skill 原本没有明确“意图分配权”这一类概念包装规则。,写作模块加入“为机制命名：X入口、X分配权、X成本、X红利”的概念包装规则，但不能写入 holdout 特定原句。
baseline,7,信息越来越多，如何正确做出判断？4个工具送给你,8.0,7.5,7.2,6.8,6.0,6.8,8.5,9.5,7.54,思想和节奏较接近，抓住拆问题与慢判断；但原文有 4 个工具的完整清单，生成稿只覆盖一个核心工具。,清单递进式模板应要求“标题承诺 N 个工具时，正文必须给足 N 个工具”。
baseline,8,年中了，到底该如何制定下半年的战略？,8.5,8.0,7.5,7.0,6.5,7.2,8.5,9.5,7.84,高度贴合目标/路径/复盘逻辑，结构和节奏也接近；差距在原文有道路类比和更多战略执行细节。,战略类模板加入“目标-路径-资源-打法-复盘”的固定骨架。
round1,1,请笑纳：我这28年的写作心法，全部都在这里了,8.1,7.6,7.3,7.4,5.8,7.3,8.5,9.3,7.66,第一人称成稿定位提升语言节奏和文章感；仍缺案例密度和多模型展开。,继续补强成稿模板：长清单、概念解释、案例密度、机制命名。
round1,2,到底什么是商业模式？,8.1,7.2,6.8,7.2,6.0,6.8,8.5,9.3,7.49,第一人称成稿定位提升语言节奏和文章感；仍缺案例密度和多模型展开。,继续补强成稿模板：长清单、概念解释、案例密度、机制命名。
